Date,Price,Year,Month,Day,DayOfWeek,MA7,MA14,MA30,Lag1,Lag2,Lag3
2009-09-23,120.44,2009,9,23,2,120.97285714285715,120.14,116.21633333333332,121.43,120.5,121.41
2009-09-24,116.07,2009,9,24,3,120.32285714285715,119.64928571428571,116.13000000000001,120.44,121.43,120.5
2009-09-25,114.44,2009,9,25,4,119.41142857142857,120.00714285714285,116.06766666666667,116.07,120.44,121.43
2009-09-28,114.0,2009,9,28,0,118.32714285714287,119.91428571428571,116.03233333333334,114.44,116.07,120.44
2009-09-29,112.91,2009,9,29,1,117.11285714285714,119.31642857142857,115.95033333333332,114.0,114.44,116.07
2009-09-30,113.8,2009,9,30,2,116.15571428571427,118.68642857142856,115.943,112.91,114.0,114.44
2009-10-02,110.64,2009,10,2,4,114.61428571428571,117.68999999999998,115.84766666666665,113.8,112.91,114.0
2009-10-03,100.69,2009,10,3,5,111.79285714285713,116.38285714285713,115.45133333333334,110.64,113.8,112.91
2009-10-06,122.12,2009,10,6,1,112.65714285714286,116.49000000000001,115.78966666666666,100.69,110.64,113.8
2009-10-07,108.58,2009,10,7,2,111.82000000000001,115.61571428571428,115.614,122.12,100.69,110.64
2009-10-08,123.09,2009,10,8,3,113.11857142857141,115.72285714285714,115.97533333333334,108.58,122.12,100.69
2009-10-09,114.28,2009,10,9,4,113.31428571428572,115.21357142857141,116.02866666666665,123.09,108.58,122.12
2009-10-11,118.21,2009,10,11,6,113.94428571428571,115.04999999999998,116.222,114.28,123.09,108.58
2009-10-12,124.83,2009,10,12,0,115.97142857142858,115.29285714285716,116.76533333333333,118.21,114.28,123.09
2009-10-13,122.0,2009,10,13,1,119.01571428571428,115.40428571428572,117.08066666666667,124.83,118.21,114.28
2009-10-14,122.83,2009,10,14,2,119.11714285714285,115.88714285714286,117.79433333333333,122.0,124.83,118.21
2009-10-15,122.02,2009,10,15,3,121.03714285714285,116.42857142857143,118.08233333333334,122.83,122.0,124.83
2009-10-16,124.59,2009,10,16,4,121.25142857142858,117.18499999999999,118.13733333333333,122.02,122.83,122.0
2009-10-19,126.28,2009,10,19,0,122.96571428571428,118.14,118.699,124.59,122.02,122.83
2009-10-20,124.46,2009,10,20,1,123.85857142857142,118.90142857142857,119.00433333333334,126.28,124.59,122.02
2009-10-21,125.79,2009,10,21,2,123.99571428571429,119.98357142857142,119.15466666666666,124.46,126.28,124.59
2009-10-22,125.19,2009,10,22,3,124.45142857142856,121.73357142857142,119.24033333333334,125.79,124.46,126.28
2009-10-23,120.8,2009,10,23,4,124.16142857142857,121.6392857142857,119.11399999999999,125.19,125.79,124.46
2009-10-26,120.37,2009,10,26,0,123.92571428571428,122.48142857142857,119.16000000000001,120.8,125.19,125.79
2009-10-27,120.71,2009,10,27,1,123.37142857142858,122.31142857142858,119.16300000000001,120.37,120.8,125.19
2009-10-28,119.43,2009,10,28,2,122.39285714285714,122.6792857142857,119.11666666666666,120.71,120.37,120.8
2009-10-29,120.47,2009,10,29,3,121.82285714285715,122.84071428571428,119.07933333333332,119.43,120.71,120.37
2009-10-30,119.9,2009,10,30,4,120.9814285714286,122.48857142857142,119.029,120.47,119.43,120.71
2009-11-02,108.8,2009,11,2,0,118.64,121.54571428571428,118.639,119.9,120.47,119.43
2009-11-03,101.18,2009,11,3,1,115.83714285714287,119.99928571428572,117.964,108.8,119.9,120.47
2009-11-05,121.59,2009,11,5,3,116.01142857142858,119.96857142857142,118.00233333333334,101.18,108.8,119.9
2009-11-06,122.16,2009,11,6,4,116.21857142857142,119.795,118.20533333333333,121.59,101.18,108.8
2009-11-08,123.2,2009,11,8,6,116.75714285714285,119.575,118.49733333333333,122.16,121.59,101.18
2009-11-09,115.89,2009,11,9,0,116.10285714285715,118.96285714285715,118.56033333333333,123.2,122.16,121.59
2009-11-11,116.88,2009,11,11,2,115.67142857142856,118.32642857142858,118.69266666666667,115.89,123.2,122.16
2009-11-12,124.41,2009,11,12,3,117.90142857142857,118.27071428571428,119.04633333333332,116.88,115.89,123.2
2009-11-13,114.97,2009,11,13,4,119.87142857142858,117.85428571428572,119.19066666666666,124.41,116.88,115.89
2009-11-16,118.05,2009,11,16,0,119.36571428571428,117.68857142857142,119.76933333333334,114.97,124.41,116.88
2009-11-17,118.06,2009,11,17,1,118.78,117.49928571428572,119.634,118.05,114.97,124.41
2009-11-18,119.65,2009,11,18,2,118.27285714285713,117.51499999999999,120.003,118.06,118.05,114.97
2009-11-19,117.67,2009,11,19,3,118.52714285714286,117.31500000000001,119.82233333333333,119.65,118.06,118.05
2009-11-20,117.44,2009,11,20,4,118.60714285714286,117.13928571428572,119.92766666666668,117.67,119.65,118.06
2009-11-23,118.61,2009,11,23,0,117.77857142857144,117.84,119.941,117.44,117.67,119.65
2009-11-24,118.04,2009,11,24,1,118.21714285714286,119.0442857142857,119.71466666666666,118.61,117.44,117.67
2009-11-25,119.91,2009,11,25,2,118.48285714285716,118.92428571428572,119.645,118.04,118.61,117.44
2009-11-26,120.25,2009,11,26,3,118.7957142857143,118.78785714285713,119.559,119.91,118.04,118.61
2009-11-27,119.15,2009,11,27,4,118.72428571428573,118.49857142857142,119.46333333333334,120.25,119.91,118.04
2009-11-30,122.19,2009,11,30,0,119.36999999999999,118.94857142857143,119.38333333333334,119.15,120.25,119.91
2009-12-01,107.99,2009,12,1,1,118.02,118.31357142857142,118.77366666666667,122.19,119.15,120.25
2009-12-02,106.57,2009,12,2,2,116.3,117.03928571428573,118.17733333333334,107.99,122.19,119.15
2009-12-03,102.89,2009,12,3,3,114.13571428571429,116.17642857142857,117.414,106.57,107.99,122.19
2009-12-05,122.51,2009,12,5,5,114.50714285714285,116.495,117.32466666666666,102.89,106.57,107.99
2009-12-06,121.24,2009,12,6,6,114.64857142857143,116.72214285714286,117.33933333333334,122.51,102.89,106.57
2009-12-08,122.43,2009,12,8,1,115.11714285714285,116.9207142857143,117.40799999999999,121.24,122.51,102.89
2009-12-10,122.37,2009,12,10,3,115.14285714285714,117.25642857142857,117.46333333333332,122.43,121.24,122.51
2009-12-11,115.27,2009,12,11,4,116.18285714285715,117.10142857142857,117.32466666666666,122.37,122.43,121.24
2009-12-14,126.97,2009,12,14,0,119.09714285714286,117.69857142857143,117.54133333333334,115.27,122.37,122.43
2009-12-15,127.62,2009,12,15,1,122.63,118.38285714285715,117.79866666666666,126.97,115.27,122.37
2009-12-16,128.34,2009,12,16,2,123.46285714285715,118.985,118.45,127.62,126.97,115.27
2009-12-17,127.76,2009,12,17,3,124.39428571428572,119.52142857142857,119.336,128.34,127.62,126.97
2009-12-18,126.88,2009,12,18,4,125.03,120.07357142857143,119.51233333333333,127.76,128.34,127.62
2009-12-21,127.52,2009,12,21,0,125.76571428571428,120.45428571428572,119.691,126.88,127.76,128.34
